a  啊
an-huai  暗怀
an-huang  暗黄
an-hui  安会
an-ji 按记 暗记  案几
an-ji-hua  按计划
an-jia  安家
an-jia-luo-hu  安家落户
an-jian  暗箭
an-jian-nan-fang  暗箭难防
an-jiao  暗叫
an-jiao-yi-sheng  暗叫一声
an-jin  暗劲
an-jing 暗惊  安静
an-jing-xia-lai  安静下来
an-jing-xia-qu  安静下去
an-ju  安居
an-ju-le-ye  安居乐业
an-ju-yue-ye  安居乐业
an-kuai  安会
an-kui  暗亏
an-le 安乐  黯了
an-le-wo  安乐窝
an-li 案例 暗里  按理
an-li-shuo  按理说
an-lian  暗恋
an-liao  黯了
an-lin-xuan  按林轩
an-ling  暗灵
an-liu  暗流
an-luo  按落
an-lv-se  暗绿色
an-ma  暗骂
an-mo  按摩
an-mo-jing  暗魔晶
an-na  按捺
an-na-bu-zhu  按捺不住
an-ning  安宁
an-pai  安排
an-qi 暗器 按期  暗棋
an-qian  案前
an-qian-ma-hou  鞍前马后
an-qing-zhi-se  暗青之色
an-qu 黯去 暗去  按去
an-quan  安全
an-quan-gan  安全感
an-quan-ke-kao  安全可靠
an-quan-xi-shu  安全系数
an-quan-xing  安全性
an-ran 黯然  安然
an-ran-shen-shang  黯然神伤
an-ran-shi-se  黯然失色
an-ran-wu-guang  黯然无光
an-ran-wu-shi  安然无事
an-ran-wu-yang  安然无恙
an-re  安热
an-sha  暗杀
an-shang 暗伤 按上  安上
an-shen 安神  安身
an-shen-li-ming  安身立命
an-shen-zhi-chu  安身之处
an-shen-zhi-di  安身之地
an-sheng 安生  暗生
an-shi 暗示 暗室 暗施  按时
an-shou  暗手
an-shu  安叔
an-shu-shou-yuan  安叔寿元
an-shuang  暗爽
an-shuo  按说
an-song  暗松
an-song-qiu-bo  暗送秋波
an-suan  暗算
an-tan  暗叹
an-tian  按天
an-tian-ming  安天命
an-ting  按亭
an-tong-kuan-qu  暗通款曲
an-tou  暗偷
an-tu  按图
an-tu-suo-ji  按图索骥
an-tun  暗吞
an-wang  暗王
an-wei 安慰  安危
an-wen  安稳
an-wu-tian-ri  暗无天日
an-xi  暗喜
an-xia 安下 按下  暗下
an-xiang 安详 安享 按像  暗想
an-xiao  暗笑
an-xie  安歇
an-xin  安心
an-xu  暗许
an-yi  安逸
an-yin-tong  按银瞳
an-ying  暗影
an-ying-za-zhai  安营扎寨
an-ying-zha-zhai  安营扎寨
an-you  安有
an-yu  安于
an-yu-tong  按玉筒
an-yue  安乐
an-yue-wo  安乐窝
an-yun  暗运
an-zan  暗赞
an-zang 安葬  暗藏
an-zang-sha-ji  暗藏杀机
an-zang-xuan-ji  暗藏玄机
an-zhan  暗战
an-zhao 按着 安着  按照
an-zhe 按着  安着
an-zhen  安真
an-zhen-yuan  安真远
an-zhi 安置  安知
an-zhi-ci  安之此
an-zhi-ru-yi  安之如饴
an-zhong  暗中
an-zhong-xiang-zhu  暗中相助
an-zhu  按住
an-zhuang 暗桩  安装
an-zhuo 案桌 按着 安着  安卓
an-zi 按自 案子  暗自
ang-gui  昂贵
ang-qi  昂起
ang-ran 昂然  盎然
ang-shou  昂首
ang-shou-kuo-bu  昂首阔步
ang-shou-ting-xiong  昂首挺胸
ang-zang  肮脏
ao  獒
ao-ao  嗷嗷
ao-ao-dai-bu  嗷嗷待哺
ao-ao-jiao  嗷嗷叫
ao-bu-zhu  熬不住
ao-cao  凹槽
ao-chao  凹巢
ao-chu  熬出
ao-chu-lai  熬出来
ao-fei  傲妃
ao-gu  傲骨
ao-guo  熬过
ao-guo-lai  熬过来
ao-guo-qu  熬过去
ao-hui  懊悔
ao-kou  拗口
ao-li  傲立
ao-man  傲慢
ao-mi  奥秘
ao-miao  奥妙
ao-miao-wu-qiong  奥妙无穷
ao-nao  懊恼
ao-nao-bu-yi  懊恼不已
ao-pang  奥胖
ao-qi  傲气
ao-ran  傲然
ao-ren  傲人
ao-sang  懊丧
ao-shi  傲视
ao-shi-qun-lun  傲视群伦
ao-shi-qun-xiong  傲视群雄
ao-tian  傲天
ao-tu-bu-ping  凹凸不平
ao-wu  傲物
ao-wu-ao  嗷呜嗷
ao-xia-qu  凹下去
ao-xian  凹陷
ao-xiang  翱翔
ao-xiao  傲啸
ao-yi  奥义
ao-you  遨游
ao-zhan  鏖战
ao-zhi  熬制
ba 疤 拔 粑 罢 把  吧
ba-ba 巴巴  爸爸
ba-bai 八拜  八百
ba-bai-jin  八百斤
ba-bai-li  八百里
ba-bai-nian  八百年
ba-bai-sui  八百岁
ba-bai-wan  八百万
ba-bai-yu  八百余
ba-bei  八倍
ba-bei-zi  八辈子
ba-bian  八遍
ba-bing 罢兵 八柄  把柄
ba-bu-de  巴不得
ba-ceng  八层
ba-cheng  八成
ba-chi 把持  八尺
ba-chu 拔除  拔出
ba-ci  八次
ba-da 八大  吧嗒
ba-dao 八道  霸道
ba-dao-xiang-xiang  拔刀相向
ba-dao-xiang-zhu  拔刀相助
ba-de  拔得
ba-di-er-qi  拔地而起
ba-dian  八点
ba-diao  拔掉
ba-du  霸毒
ba-fang  八方
ba-fang-lai-ke  八方来客
ba-gan  八杆
ba-gao  拔高
ba-ge  八个
ba-gu  八股
ba-gua  八卦
ba-gua-tu  八卦图
ba-gua-zhang  八卦掌
ba-gua-zhen  八卦阵
ba-guai  八拐
ba-guan  把关
ba-guang  拔光
ba-he  芭荷
ba-hen  疤痕
ba-hu  跋扈
ba-hui  八回
ba-ji 八级  八极
ba-jian 八剑 拔尖  拔剑
ba-jiao 八角  芭蕉
ba-jiao-shan  芭蕉扇
ba-jie  巴结
ba-jiu-bu-li-shi  八九不离十
ba-jiu-yan-huan  把酒言欢
ba-ju  八具
ba-kai 扒开  拔开
ba-ke  八颗
ba-kuai  八块
ba-le  罢了
ba-li  八粒
ba-lian  疤脸
ba-liang  八辆
ba-liao  罢了
ba-long  霸龙
ba-mai  把脉
ba-mao  拔毛
ba-mian  八面
ba-mian-guang  八面光
ba-mian-ling-long  八面玲珑
ba-miao-zhu-chang  拔苗助长
ba-miao-zhu-zhang  拔苗助长
ba-ming  八名
ba-mu  八目
ba-nian  八年
ba-nv  八女
ba-pi  扒皮
ba-pian  八篇
ba-ping  八瓶
ba-qi 拔起  霸气
ba-qi-lai  拔起来
ba-qian  八千
ba-qian-li  八千里
ba-qian-wan  八千万
ba-quan  霸权
ba-qun  拔群
ba-ren  八人
ba-shan-she-shui  跋山涉水
ba-she  跋涉
ba-shi 巴是  八十
ba-shi-ba  八十八
ba-shi-er  八十二
ba-shi-jiu  八十九
ba-shi-liu  八十六
ba-shi-nian  八十年
ba-shi-qi  八十七
ba-shi-san  八十三
ba-shi-si  八十四
ba-shi-wan  八十万
ba-shi-wu  八十五
ba-shi-yi  八十一
ba-shi-yi-ge  八十一个
ba-shi-yu  八十余
ba-shou 把手 把守  罢手
ba-su  八素
ba-sui  八岁
ba-ta  吧嗒
ba-tao  八套
ba-tian  八天
ba-tiao  八条
ba-tou  八头
ba-tui  拔腿
ba-wan 八万  把玩
ba-wan-jin  八万斤
ba-wang  霸王
ba-wang-long  霸王龙
ba-wei 八位  八尾
ba-wo  把握
ba-wo-zhu  把握住
ba-wu-zhe  八五折
ba-xi  把戏
ba-xian-guo-hai  八仙过海
ba-xian-guo-hai-ge-xian-shen-tong  八仙过海各显神通
ba-xiu  罢休
ba-ya  拔牙
ba-yi  八亿
ba-yue  八月
ba-zai  八载
ba-zhan 罢战  霸占
ba-zhang 八张 八丈 巴掌  八章
ba-zhe  八折
ba-zhi  八只
ba-zhong  八种
ba-zhu 八筑  霸主
ba-zi 八子  靶子
ba-zuo  八座
bai 败 摆 白  拜
bai-ba  百把
bai-ba-shi  百八十
bai-ba-xiong-di  拜把兄弟
bai-bai 伯伯 拜拜  白白
bai-bai-de  白白的
bai-bai-lang-fei  白白浪费
bai-bai-nen  白白嫩
bai-bai-pang-pang  白白胖胖
bai-bai-shou  摆摆手
bai-ban  百般
bai-ban-diao-nan  百般刁难
bai-ban-wu-nai  百般无奈
bai-bang  白帮
bai-bao  百宝
bai-bei 败北  百倍
bai-bei-qian-bei  百倍千倍
bai-bian  百变
bai-bie  拜别
bai-bing 百病  百兵
bai-bing-lou  百兵楼
bai-bo  伯伯
bai-bu 白布 百步 百部  摆布
bai-bu-cun  百不存
bai-bu-lao  白不捞
bai-bu-nei  败不馁
bai-bu-tuo  摆不脱
bai-cao 败草  百草
bai-cao-tang  百草堂
bai-cao-xian  百草仙
bai-cao-yuan  百草园
bai-cheng  摆成
bai-chi 白吃 百尺  白痴
bai-chi-gan-tou  百尺竿头
bai-chi-gan-tou-geng-jin-yi-bu  百尺竿头更进一步
bai-chong  百虫
bai-chu 百处 百出  摆出
bai-chu-lai  摆出来
bai-chuan  百川
bai-ci 拜此  百次
bai-da 白搭  白打
bai-dai  白待
bai-dan-huo  白丹火
bai-dao 百道 拜倒  摆到
bai-de 摆得 白得  败得
bai-dian  白点
bai-dong 百栋  摆动
bai-du 百毒  百度
bai-du-bu-qin  百毒不侵
bai-du-men  百毒门
bai-du-sou  百度搜
bai-du-zong  百毒宗
bai-duan  掰断
bai-duan-fang  百锻坊
bai-duo  百多
bai-duo-sheng-shao  败多胜少
bai-e 白垩  白额
bai-e-ji  白垩纪
bai-er  百二
bai-fa  白发
bai-fa-bai-zhong  百发百中
bai-fa-cang-cang  白发苍苍
bai-fan  白凡
bai-fang 摆坊 拜访  摆放
bai-fang-zhao  摆放着
bai-fang-zhe  摆放着
bai-fang-zhuo  摆放着
bai-fei  白费
bai-fei-chun-she  白费唇舌
bai-fei-li-qi  白费力气
bai-fei-xin-ji  白费心机
bai-fen-bai  百分百
bai-fen-zhi-ba-shi  百分之八十
bai-fen-zhi-bai  百分之百
bai-fen-zhi-er-bai  百分之二百
bai-fen-zhi-er-san  百分之二三
bai-fen-zhi-er-shi  百分之二十
bai-fen-zhi-jiu-shi  百分之九十
bai-fen-zhi-jiu-shi-jiu  百分之九十九
bai-fen-zhi-liu  百分之六
bai-fen-zhi-qi-shi  百分之七十
bai-fen-zhi-san-shi  百分之三十
bai-fen-zhi-san-shi-ji  百分之三十几
bai-fen-zhi-shi  百分之十
bai-fen-zhi-wu  百分之五
bai-fen-zhi-wu-shi  百分之五十
bai-fen-zhi-wu-shi-zuo-you  百分之五十左右
bai-fen-zhi-yi  百分之一
bai-fen-zhi-yi-bai  百分之一百
bai-fen-zhi-yi-bai-er-shi  百分之一百二十
bai-feng  百凤
bai-feng-dao  百凤刀
bai-feng-feng  百凤峰
bai-feng-tang  白凤堂
bai-fu 伯父 白浮 拜服  拜伏
bai-fu-cheng  白浮城
bai-gan-jiao-ji  百感交集
bai-ge  百个
bai-gei 白给  败给
bai-gen  百根
bai-gu  白骨
bai-guan  百官
bai-guang  白光
bai-guang-lian  白光连
bai-guang-shan  白光闪
bai-gui  百鬼
bai-gui-fang  百鬼坊
bai-guo 拜过  白过
bai-hai  百骸
bai-hang  百行
bai-hao  摆好
bai-he 百阖  白鹤
bai-he-shang  百鹤上
bai-hen  白痕
bai-hong  白虹
bai-hong-ban  白虹般
bai-hong-fa  拜红发
bai-hu 百虎  白虎
bai-hu-hu  白乎乎
bai-hu-tang  白虎堂
bai-hu-zi  白胡子
bai-hua 白花  百花
bai-hua-cheng-kai  百花盛开
bai-hua-cong  百花丛
bai-hua-hua  白花花
bai-hua-qi-fang  百花齐放
bai-hua-shan  百花山
bai-hua-she  白花蛇
bai-hua-sheng-kai  百花盛开
bai-hua-yi  白花蛇
bai-hua-yuan  百花园
bai-huai  败坏
bai-hui  拜会
bai-hui-xue  百会穴
bai-hun 百魂  白魂
bai-huo 白活  百货
bai-huo-ni  拜火泥
bai-ji 白己 白给 百计  败给
bai-jia 百家  败家
bai-jia-zi 败家子  摆架子
bai-jian 百间 百件 白捡  拜见
bai-jiao  白叫
bai-jin 白金  百斤
bai-jing  白净
bai-jiu  百九
bai-ju 百具  败局
bai-ju-guo-xi  白驹过隙
bai-juan  百卷
bai-jun-zhi-jiang  败军之将
bai-kai 掰开  摆开
bai-ke  百颗
bai-kou  百口
bai-kou-mo-bian  百口莫辩
bai-kuai 百块  拜会
bai-kuai-xue  百会穴
bai-lai 白来  百来
bai-lai-bai-qu  拜来拜去
bai-lai-jia  百来家
bai-lang  白狼
bai-le  伯乐
bai-lei  败类
bai-li 百利 百粒  百里
bai-li-tiao-yi  百里挑一
bai-li-tou-hong  白里透红
bai-lian 白链 白脸  百炼
bai-lian-fang  百炼方
bai-lian-gang  百炼钢
bai-liang  百辆
bai-lin  拜林
bai-lin-xuan 摆林轩 败林轩  拜林轩
bai-ling 百零 白绫  百灵
bai-ling-niao  百灵鸟
bai-liu  百六
bai-long  百龙
bai-long-qi  百龙齐
bai-long-ying  百龙迎
bai-lu 白鹿  败露
bai-luo  败落
bai-ma-wang-zi  白马王子
bai-mai 百脉  白买
bai-man  摆满
bai-mang 百忙 白芒  白忙
bai-mang-mang  白茫茫
bai-mang-zhi-zhong  百忙之中
bai-mang-zhong  百忙中
bai-mao  白毛
bai-mei 白眉  百枚
bai-mei-bai  白眉白
bai-mei-seng  白眉僧
bai-mei-wei  白眉微
bai-mei-yi  白眉一
bai-mei-zhou  白眉皱
bai-men  百门
bai-meng-meng  白蒙蒙
bai-mi  百米
bai-mi-yi-shu  百密一疏
bai-mian  白面
bai-mian-shu-sheng  白面书生
bai-ming 摆明  百名
bai-mo  白沫
bai-mou  白某
bai-mu  百亩
bai-nai-long  拜鼐龙
bai-nen  白嫩
bai-ni-wei-shi  拜你为师
bai-nian 拜年  百年
bai-nian-bu-yu  百年不遇
bai-nian-hao-he  百年好合
bai-nian-nan-yu  百年难遇
bai-nian-yi-yu  百年一遇
bai-nian-zhi-hou  百年之后
bai-nian-zhi-yue  百年之约
bai-niao  百鸟
bai-niao-chao-feng  百鸟朝凤
bai-niao-zhao-feng  百鸟朝凤
bai-niao-zhi-wang  百鸟之王
bai-nong  摆弄
bai-pao  白袍
bai-pao-yi-tang  白跑一趟
bai-piao-yun-gu  拜飘云谷
bai-ping  摆平
bai-ping-fang-mi  百平方米
bai-pu  摆谱
bai-pu-er  摆谱儿
bai-qi 摆起 百骑  白气
bai-qin  百禽
bai-qiu  拜求
bai-qu  白去
bai-qun  白裙
bai-ren 百人  白刃
bai-ri 白日  百日
bai-ri-fei-sheng  白日飞升
bai-ri-jian-gui  白日见鬼
bai-ri-meng  白日梦
bai-ri-zuo-meng  白日做梦
bai-ru  拜入
bai-ru-yu  白如玉
bai-ru-zhi  白如纸
bai-san  百三
bai-se  白色
bai-sen-sen  白森森
bai-sha 白沙 白鲨  白纱
bai-shan 拜山  白衫
bai-shan-xiao-wei  百善孝为
bai-shang  摆上
bai-shao  败少
bai-she  摆设
bai-she-dan  百蛇丹
bai-shen  摆身
bai-shen-mo-shu  百身莫赎
bai-sheng-sheng  白生生
bai-shi 百事 百试 白石 白食 拜师  百十
bai-shi-nian  百十年
bai-shi-shan  白石山
bai-shi-xue-yi  拜师学艺
bai-shi-you-yu  败事有余
bai-shi-zhang  百十丈
bai-shou 白受 白首 百兽  摆手
bai-shou-qi-jia  白手起家
bai-shou-zhi-wang  百兽之王
bai-shuo  白说
bai-si 白丝 百思 白死  百死
bai-si-bu-de-qi-jie  百思不得其解
bai-si-shi-liu  百四十六
bai-song 柏松  白送
bai-sou  百艘
bai-sui  百岁
bai-ta  白塔
bai-ta-wei-shi  拜他为师
bai-tai  百态
bai-tan 摆谈  摆摊
bai-tang  拜堂
bai-teng  白疼
bai-tian 白天  百天
bai-tian-di  拜天地
bai-tian-hei-ye  白天黑夜
bai-tian-jian-gui  白天见鬼
bai-tiao  百条
bai-tou 摆头  百头
bai-tui  败退
bai-tuo 拜托  摆脱
bai-wan  百万
bai-wan-fen-zhi-yi  百万分之一
bai-wan-ji  百万计
bai-wan-jin  百万斤
bai-wan-mu  百万亩
bai-wan-nian  百万年
bai-wan-qiu-wei  拜婉秋为
bai-wan-zhi  百万只
bai-wang 拜望  败亡
bai-wei 摆尾 百味  百位
bai-wen  百文
bai-wen-bu-ru  百闻不如
bai-wen-bu-ru-yi-jian  百闻不如一见
bai-wo-wei-shi  拜我为师
bai-wu 百五  白雾
bai-wu-liao-lai  百无聊赖
bai-wu-shi  百五十
bai-xi  白皙
bai-xia-zhen-lai  败下阵来
bai-xian 摆显  白线
bai-xiang 败像 白象 白想  败象
bai-xie  拜谢
bai-xin-ku  白辛苦
bai-xing  百行
bai-xing-er-gui  败兴而归
bai-xu 败絮  白须
bai-xu-piao  白须飘
bai-xu-qi-zhong  败絮其中
bai-xuan  拜轩
bai-xue  白雪
bai-xue-ai-ai  白雪皑皑
bai-ya  白牙
bai-yan 白烟  白眼
bai-yan-lang  白眼狼
bai-yan-shi  百焰石
bai-yao  白要
bai-ye 败叶  拜谒
bai-ye-xiao-he  败也萧何
bai-yi 百益 百亿 百艺  白衣
bai-yi-dan  百蛇丹
bai-yi-shi-wan  百一十万
bai-ying  白影
bai-yong  白用
bai-you  摆有
bai-yu 百余 败于  白玉
bai-yu-chu  百余处
bai-yu-ge  百余个
bai-yu-jian 百余间  百余件
bai-yu-jin  百余斤
bai-yu-li  百余里
bai-yu-mei  百余枚
bai-yu-mi  百余米
bai-yu-ming  百余名
bai-yu-nian  百余年
bai-yu-ren  百余人
bai-yu-tiao  百余条
bai-yu-tou  百余头
bai-yu-wei  百余位
bai-yu-zhang  百余丈
bai-yu-zhi  百余只
bai-yu-zhong  百余种
bai-yuan 拜元  百元
bai-yue  伯乐
bai-yun  白云
bai-yun-you-you  白云悠悠
bai-zai 百载  摆在
bai-zai-mian-qian  摆在面前
bai-zhan  百战
bai-zhan-bai-sheng  百战百胜
bai-zhan-bu-dai  百战不殆
bai-zhang 败仗 百章 百张  百丈
bai-zhao  摆着
bai-zhe 败者  摆着
bai-zhe-bu-hui  百折不回
bai-zhe-bu-nao  百折不挠
bai-zhen-yan  摆阵眼
bai-zhi 百只  白纸
bai-zhi-se  白之色
bai-zhong 百中 伯仲  百种
bai-zhong-zhi-jian  伯仲之间
bai-zhou  白昼
bai-zhou-hei-ye  白昼黑夜
bai-zhu  百株
bai-zhuan  百转
bai-zhuan-hong  白转红
bai-zhuo  摆着
bai-zi  白子
bai-zou 白走  败走
bai-zu 百族 百足  摆足
bai-zu-zhi-chong  百足之虫
bai-zun  百尊
bai-zuo 白做  百座
ban 办 扮  半
ban-bai 半百 半白  斑白
ban-ban  斑斑
ban-bao  半抱
ban-ben  版本
ban-bi  半闭
ban-bian 般变  半边
ban-bian-tian  半边天
ban-bo  斑驳
ban-bu 半部 颁布  半步
ban-bu-ban  办不办
ban-bu-cheng  办不成
ban-bu-dai  般不带
ban-bu-dao  办不到
ban-can  半残
ban-ce  半册
ban-chao-qian  般朝前
ban-cheng 半成 扳成 办成  扮成
ban-chi 扮痴  半尺
ban-chong  般冲
ban-chou  半筹
ban-chu 半畜 扮出  搬出
ban-cun  半寸
ban-da  般大
ban-dang  般挡
ban-dao 扳倒 搬到 办到  半道
ban-de 办得  般的
ban-de-hao  办得好
ban-deng  板凳
ban-di 半滴  般地
ban-dian 斑点  半点
ban-diao-zi  半吊子
ban-dong  般动
ban-dong-bu-dong  半懂不懂
ban-duan  半段
ban-dui  半堆
ban-duo  半多
ban-er  伴儿
ban-er-gong  半而功
ban-er-lai  般而来
ban-fa  办法
ban-fei  半废
ban-fei-chu  般飞出
ban-fen 半份  半分
ban-feng-bi  半封闭
ban-fu  半幅
ban-gao  般高
ban-ge 搬个  半个
ban-gong  办公
ban-hao  办好
ban-he 半合  半阖
ban-hei  半黑
ban-hen  斑痕
ban-hu  半壶
ban-huai-gu  办坏辜
ban-hui 扳回  半毁
ban-ji  半级
ban-ji-zhen  版奇阵
ban-jia 半价  搬家
ban-jian  半间
ban-jiao  半蛟
ban-jiao-hua  半蛟化
ban-jiao-shi  绊脚石
ban-jie  半截
ban-jin 半斤  搬进
ban-jin-ba-liang  半斤八两
ban-jiu  斑鸠
ban-jiu-bing  搬救兵
ban-ju  半句
ban-ju-hua  半句话
ban-juan  般卷
ban-jue-shi  绊脚石
ban-jun  伴君
ban-kai 半开  搬开
ban-kao  半靠
ban-ke  半刻
ban-kong 搬空  半空
ban-kong-zhong  半空中
ban-kuai  半块
ban-kuang  般狂
ban-lai  搬来
ban-lan  斑斓
ban-li 半粒 办理 搬离  半礼
ban-li-shou-xu  办理手续
ban-lin-xuan  伴林轩
ban-long  半龙
ban-lu 半炉  半路
ban-lu-shang  半路上
ban-lv  伴侣
ban-ma  半马
ban-mei  半枚
ban-men-nong-fu  班门弄斧
ban-mi 半米  半眯
ban-mo  半魔
ban-mo-hua  半魔化
ban-mu  半亩
ban-mu-zu  半木族
ban-nian  半年
ban-nian-qian  半年前
ban-nong-shi-fei  搬弄是非
ban-pai  半拍
ban-pei  般配
ban-pian 半篇  半片
ban-ping  半瓶
ban-qi 办起 扮起  搬起
ban-qi-mian-kong  板起面孔
ban-qi-zhen  版奇阵
ban-qian  搬迁
ban-ren  半人
ban-ren-ban  半人半
ban-ri  半日
ban-ri-xian  半日闲
ban-san  般散
ban-shan-yao  半山腰
ban-shang  半晌
ban-shang-ding-ding  板上钉钉
ban-she  半蛇
ban-shen  半身
ban-shen-bu-sui  半身不遂
ban-shen-xiang  半身像
ban-sheng 半生  半声
ban-shi  办事
ban-shi-xiao-lv  办事效率
ban-shi-xiao-shuai  办事效率
ban-shou  半兽
ban-shu 半熟  半数
ban-shu-yi-shang  半数以上
ban-shu-zuo-you  半数左右
ban-si 半丝  半死
ban-si-bu-huo  半死不活
ban-su  半宿
ban-sui 般碎  伴随
ban-sun  半损
ban-teng  般疼
ban-tian 半阗  半天
ban-tiao  半条
ban-tiao-ming  半条命
ban-tou-ming  半透明
ban-tu 版图  半途
ban-tu-er  半途而
ban-tu-er-fei  半途而废
ban-tui-ban-jiu  半推半就
ban-tuo  办妥
ban-wan  办完
ban-wang  搬往
ban-wu  伴舞
ban-xi 半息  半喜
ban-xia  颁下
ban-xiang 般向 扮像 般像  半响
ban-xiao-shi  半小时
ban-xin-ban-yi  半信半疑
ban-xiu  半宿
ban-xu 半许  半畜
ban-ya  板牙
ban-yan  扮演
ban-ye  半夜
ban-yi 半倚 办一  半蛇
ban-yi-niu  般一扭
ban-yi-rao  般一绕
ban-yi-zhuan  般一转
ban-you 伴有  半忧
ban-yu-ze  般欲择
ban-yuan  半圆
ban-yuan-xing  半圆形
ban-yue  半月
ban-yue-xing  半月形
ban-yun  搬运
ban-zai  半载
ban-zhan 般站  半盏
ban-zhang 半丈  半张
ban-zhao 般罩  扳着
ban-zhao-lian  板着脸
ban-zhao-qian  般朝前
ban-zhe  扳着
ban-zhe-lian  板着脸
ban-zhen-ban-jia  半真半假
ban-zheng-ban-bi  半睁半闭
ban-zhi  半只
ban-zhi-duo  半之多
ban-zhu 版主 扮猪  半柱
ban-zhuan  板砖
ban-zhuang  板状
ban-zhuo  扳着
ban-zhuo-lian  板着脸
ban-zi  绊子
ban-zou 伴奏  搬走
ban-zui  拌嘴
ban-zuo  扮作
ban-zuo-you  半左右
bang  帮
bang-bang 梆梆  帮帮
bang-bang-mang  帮帮忙
bang-bang-wo  帮帮我
bang-bang-xiang  梆梆响
bang-ben  帮本
bang-ben-men  帮本门
bang-bo  磅礴
bang-bu-le  帮不了
bang-bu-liao  帮不了
bang-bu-shang  帮不上
bang-bu-shang-mang  帮不上忙
bang-chen  帮衬
bang-ci  帮此
bang-da-yao  膀大腰
bang-da-yao-yuan  膀大腰圆
bang-dan  榜单
bang-dao  帮到
bang-dao-mang  帮倒忙
bang-de  帮得
bang-di  帮地
bang-dian  帮点
bang-guo  帮过
bang-hei-feng  帮黑凤
bang-hong-ling  帮红绫
